 ,name,title,lead_source,industry,employees,country,converted
2317,Christopher Rodriguez,VP Engineering,Sign-up,Technology Hardware & Equipment,11030,GE,false
2318,Tiffany Mcdaniel,Data Scientist,Sign-up,Software & Services,205,TO,false
2319,Jason Lopez,Data Scientist,Demo Requested,Technology Hardware & Equipment,4730,PS,true
2320,Joseph Williams,Owner,Demo Requested,Commercial & Professional Services,11430,EG,false
2321,Leonard Wheeler,Analytics Manager,Sign-up,Commercial & Professional Services,3030,IQ,false
2322,Sarah Ortiz,Growth Marketing Manager,Webinar,Consumer Durables & Apparel,13930,TV,false
2323,Joshua West,Account Executive,In-Person Event,Commercial & Professional Services,8105,KR,false
2324,Kurt Ferguson,Account Executive,Sign-up,Consumer Staples,5780,CA,false
2325,Timothy Valdez,Data Analyst,Sign-up,Software & Services,9105,DM,false
2326,Jason George,VP Marketing,Sign-up,Consumer Durables & Apparel,7180,LB,false
2327,Karen Dixon,Analytics Manager,In-Person Event,Commercial & Professional Services,12930,PK,false
2328,Mark Ramirez,VP Data,Sign-up,Software & Services,4180,KH,false
2329,Stacey Lewis,Account Executive,In-Person Event,Technology Hardware & Equipment,3780,GN,false
2330,Casey Hernandez,Account Executive,Sign-up,Commercial & Professional Services,4805,FI,true
2331,Brittany Vaughn,Growth Marketing Manager,Webinar,Consumer Staples,9130,DE,false
2332,Robert Kirk,Owner,Sign-up,Software & Services,1155,AZ,false
2333,Debbie Jones,CEO,In-Person Event,Commercial & Professional Services,4755,LB,true
2334,Melissa Giles,Account Executive,Sign-up,Commercial & Professional Services,14680,MD,false
2335,Jordan Harper,Foudner,Demo Requested,Consumer Staples,2205,SA,false
2336,Alexis Paul,Owner,Sign-up,Commercial & Professional Services,10005,EE,true
2337,Mark Kelley,VP Data,In-Person Event,Commercial & Professional Services,9555,VE,false
2338,Julie Johns,CFO,Webinar,Commercial & Professional Services,3855,DZ,false
2339,Rachel Boyd,CFO,In-Person Event,Consumer Staples,4455,AD,true
2340,Wendy Cook,Product Manager,In-Person Event,Commercial & Professional Services,5805,NO,false
2341,Mary Acosta,VP Data,Sign-up,Consumer Durables & Apparel,14105,PK,false
2342,Tracy Castro,Data Analyst,In-Person Event,Technology Hardware & Equipment,5105,MU,false
2343,Patricia Lewis,Foudner,Sign-up,Consumer Staples,14155,GN,false
2344,Gregory Hoffman,CEO,In-Person Event,Consumer Durables & Apparel,12605,TL,false
2345,Martha Bates,Analytics Manager,Demo Requested,Commercial & Professional Services,10305,QA,false
2346,Kimberly Walls,Software Engineer,Sign-up,Consumer Durables & Apparel,5530,FM,false
2347,Michelle Harrison,Solutions Architect,Demo Requested,Consumer Staples,7480,ID,false
2348,Stephanie Benson,Software Engineer,In-Person Event,Consumer Staples,4705,EE,true
2349,Taylor Stewart,CEO,In-Person Event,Consumer Staples,8630,GH,false
2350,Christopher Schultz,VP Data,In-Person Event,Commercial & Professional Services,2930,SN,true
2351,Alyssa Hinton,Analytics Manager,Sign-up,Commercial & Professional Services,12430,SV,false
2352,Michael Little,Data Analyst,Demo Requested,Commercial & Professional Services,330,KM,false
2353,Sheila Macdonald,Growth Marketing Manager,Demo Requested,Commercial & Professional Services,10205,GT,false
2354,Loretta Leonard,Foudner,Sign-up,Consumer Staples,12180,BD,false
2355,Frederick Evans,CEO,Webinar,Consumer Staples,9430,BT,false
2356,Donald Conner,Analytics Engineer,Sign-up,Commercial & Professional Services,14580,SV,false
2357,Felicia Mora,CFO,Demo Requested,Software & Services,12705,MK,false
2358,Linda Gibson,Software Engineer,Sign-up,Commercial & Professional Services,4055,TL,false
2359,Elizabeth Vargas,Data Analyst,Sign-up,Consumer Staples,3830,KP,false
2360,Terry Harding,Account Executive,Webinar,Consumer Staples,11830,SN,false
2361,Katherine Hunter,VP Engineering,Sign-up,Commercial & Professional Services,10905,RW,false
2362,Christian Stevens,CEO,Sign-up,Consumer Staples,705,PK,false
2363,Janet Wagner,VP Data,Demo Requested,Software & Services,6055,DZ,true
2364,Lauren Ramos,Data Scientist,Sign-up,Consumer Staples,9780,LS,false
2365,Chris Reeves,Analytics Engineer,Sign-up,Commercial & Professional Services,1155,DJ,true
2366,Joseph Hayes,Owner,Sign-up,Commercial & Professional Services,7230,TM,false
2367,Jacob Lyons,Solutions Architect,In-Person Event,Commercial & Professional Services,10755,TJ,false
2368,John Campbell,Account Executive,Sign-up,Commercial & Professional Services,11455,UA,true
2369,Erica Singh,Account Executive,In-Person Event,Commercial & Professional Services,8880,NP,false
2370,Patrick Frey,Growth Marketing Manager,Sign-up,Commercial & Professional Services,8055,MC,false
2371,Tim Burton,Foudner,Webinar,Software & Services,4755,PL,false
2372,Kimberly Blair,Owner,Sign-up,Consumer Staples,5705,LI,false
2373,Amanda Hobbs,Solutions Architect,Sign-up,Commercial & Professional Services,4130,SM,false
2374,Natalie Nixon,Data Scientist,Sign-up,Commercial & Professional Services,8030,VE,false
2375,Tonya Patterson,Analytics Engineer,Demo Requested,Commercial & Professional Services,7205,NG,true
2376,Kimberly Sims,Analytics Manager,In-Person Event,Consumer Durables & Apparel,7480,CH,false
2377,Brandon Adkins,Data Scientist,Demo Requested,Commercial & Professional Services,6255,GB,false
2378,Anthony Phillips,Analytics Manager,Sign-up,Software & Services,5780,TR,false
2379,John Thomas,VP Engineering,In-Person Event,Technology Hardware & Equipment,14355,DO,false
2380,Melissa Smith,Account Executive,Sign-up,Consumer Staples,5580,TR,false
2381,Rhonda Davis,VP Engineering,Demo Requested,Consumer Durables & Apparel,2555,HU,false
2382,Susan Pierce,VP Marketing,Sign-up,Consumer Staples,2930,QA,false
2383,Jenny Hensley,VP Engineering,Sign-up,Commercial & Professional Services,10555,MN,false
2384,Samuel Stein,Software Engineer,Sign-up,Commercial & Professional Services,7730,IT,false
2385,Cynthia Nicholson,Data Engineer,Sign-up,Consumer Staples,14505,BF,false
2386,Kenneth Moore,Owner,Sign-up,Consumer Staples,5205,ES,false
2387,Diane Johnson,Owner,Demo Requested,Software & Services,4855,LS,false
2388,Aaron Clark,Solutions Architect,Demo Requested,Software & Services,2005,TO,true
2389,Gwendolyn Johnson,Owner,Demo Requested,Commercial & Professional Services,8380,MY,false
2390,Ryan Weaver PhD,Owner,Sign-up,Commercial & Professional Services,4680,ET,true
2391,Sharon Velez,Software Engineer,Sign-up,Commercial & Professional Services,7930,PK,true
2392,Heather Jacobs,Data Analyst,Sign-up,Commercial & Professional Services,11530,LC,false
2393,Barbara Aguirre,Foudner,In-Person Event,Software & Services,705,AU,true
2394,Kristie Moran,Analytics Engineer,In-Person Event,Technology Hardware & Equipment,14555,IT,false
2395,Meghan Barker,Data Engineer,Demo Requested,Consumer Durables & Apparel,11205,JO,false
2396,Louis Brown,Data Scientist,Sign-up,Commercial & Professional Services,3955,GT,false
2397,Sheri Bryant,Growth Marketing Manager,Sign-up,Technology Hardware & Equipment,7180,NO,false
2398,Joshua Ellis,CEO,Sign-up,Commercial & Professional Services,3905,VU,false
2399,Wendy Thompson,Analytics Engineer,Sign-up,Consumer Durables & Apparel,5505,GA,false
2400,Jocelyn Wiley,Analytics Manager,Sign-up,Software & Services,3130,SV,false
2401,Jordan Jarvis,Solutions Architect,Sign-up,Software & Services,12230,VA,false
2402,Madison Beasley,Growth Marketing Manager,Sign-up,Consumer Staples,5380,BG,false
2403,Chelsey Davidson,Analytics Manager,In-Person Event,Commercial & Professional Services,730,GM,true
2404,Stephen Young,Growth Marketing Manager,Sign-up,Commercial & Professional Services,1730,TT,true
2405,Monique Salazar,Solutions Architect,Sign-up,Consumer Staples,4180,HR,false
2406,Luis Hughes,Growth Marketing Manager,Sign-up,Technology Hardware & Equipment,10580,IL,false
2407,Mark Rogers,Data Analyst,In-Person Event,Software & Services,12680,LI,false
2408,Joseph Hernandez,CEO,Webinar,Commercial & Professional Services,9205,DZ,false
2409,Robert Campbell,Software Engineer,In-Person Event,Software & Services,3780,LU,true
2410,Perry Sanchez,Analytics Engineer,Demo Requested,Technology Hardware & Equipment,14955,FM,false
2411,Amy Hamilton,Analytics Manager,Webinar,Consumer Staples,3755,HU,false
2412,Leslie Hendrix,Data Engineer,In-Person Event,Commercial & Professional Services,2155,BT,true
2413,Douglas Townsend,VP Engineering,Sign-up,Consumer Staples,14155,NI,false
2414,Christina Thornton,Data Engineer,Sign-up,Commercial & Professional Services,12405,JP,false
2415,Joshua Lopez,Software Engineer,Sign-up,Software & Services,6430,MD,false
2416,Leslie Alvarez,Data Analyst,Sign-up,Commercial & Professional Services,3630,SA,false
2417,Jennifer Martinez,VP Marketing,Sign-up,Commercial & Professional Services,7405,CZ,false
2418,Gary Sanchez,Analytics Engineer,Demo Requested,Commercial & Professional Services,9780,FI,true
2419,Joshua Houston,CFO,Sign-up,Commercial & Professional Services,7730,PA,false
2420,Virginia Gonzalez,VP Engineering,Sign-up,Software & Services,8455,AL,true
2421,Jenna Hanson,Owner,Demo Requested,Commercial & Professional Services,12980,LA,true
2422,Michael Hicks,CFO,In-Person Event,Software & Services,6580,VU,false
2423,Caitlin Ballard,CFO,Sign-up,Technology Hardware & Equipment,8105,NI,false
2424,William Perez,VP Data,Sign-up,Commercial & Professional Services,9180,TN,false
2425,Jose Barnes,Owner,Demo Requested,Commercial & Professional Services,3430,AT,true
2426,Stephanie James,Software Engineer,Demo Requested,Commercial & Professional Services,8255,NG,true
2427,William Fox,Foudner,Sign-up,Commercial & Professional Services,3930,KH,true
2428,Meredith Dorsey,CEO,Sign-up,Commercial & Professional Services,8580,HR,false
2429,Jose Francis,Analytics Engineer,Sign-up,Commercial & Professional Services,2730,GR,true
2430,Brittany Brown,Analytics Manager,Demo Requested,Technology Hardware & Equipment,5730,MA,false
2431,Linda Garcia,CEO,In-Person Event,Commercial & Professional Services,4430,BO,false
2432,Shawn Daniel,Data Analyst,In-Person Event,Software & Services,11130,ST,false
2433,Sabrina Martin,Solutions Architect,Sign-up,Software & Services,13580,LR,false
2434,Rachael Mora,Data Scientist,In-Person Event,Technology Hardware & Equipment,5,BB,false
2435,Elizabeth Charles,VP Data,Sign-up,Software & Services,6255,KW,false
2436,Teresa Ayala,Foudner,Sign-up,Technology Hardware & Equipment,7955,CH,false
2437,Brandon Simmons,Data Scientist,Demo Requested,Commercial & Professional Services,3605,VC,false
2438,Tara Holmes,CFO,Sign-up,Commercial & Professional Services,1630,BD,false
2439,Jeff Wilson,Data Analyst,Sign-up,Software & Services,13080,TN,false
2440,Crystal Vasquez,VP Data,In-Person Event,Software & Services,10405,TZ,false
2441,Michael Bruce,VP Engineering,Sign-up,Commercial & Professional Services,5080,CG,false
2442,Emily Griffin,Account Executive,Sign-up,Commercial & Professional Services,4305,MA,true
2443,Anthony Green,CEO,Demo Requested,Commercial & Professional Services,10130,ET,false
2444,Kimberly Hall,Analytics Engineer,In-Person Event,Commercial & Professional Services,13555,GW,false
2445,Sarah Lang,CEO,Webinar,Technology Hardware & Equipment,4380,KM,true
2446,Jane Lee,VP Marketing,Sign-up,Consumer Staples,4180,PK,false
2447,Hayden Garcia,CEO,In-Person Event,Consumer Durables & Apparel,5280,SC,false
2448,David Wallace,CFO,Sign-up,Software & Services,2130,SD,false
2449,Kristin Miles,Foudner,Sign-up,Software & Services,6330,NZ,false
2450,Lauren Carey,Data Engineer,Sign-up,Consumer Staples,4005,FR,false
2451,Melissa Garcia,VP Engineering,In-Person Event,Commercial & Professional Services,4780,PL,false
2452,Marie Gregory,VP Data,Sign-up,Consumer Durables & Apparel,505,,false
2453,Elizabeth Martinez,Growth Marketing Manager,Sign-up,Consumer Staples,9480,TT,false
2454,James Leonard,VP Engineering,Sign-up,Consumer Staples,6805,HU,false
2455,Rebecca Smith,VP Marketing,Webinar,Commercial & Professional Services,12880,MD,false
2456,Katherine Jones,Product Manager,Demo Requested,Commercial & Professional Services,12730,EE,false
2457,Susan Dillon,Software Engineer,In-Person Event,Commercial & Professional Services,10205,SN,true
2458,Kelli Flowers,Data Analyst,Sign-up,Software & Services,7880,VE,false
2459,Sara Alexander,Analytics Engineer,Sign-up,Consumer Staples,11130,YE,false
2460,Matthew Schultz,Software Engineer,Demo Requested,Consumer Staples,11380,IQ,false
2461,Dylan York DDS,Account Executive,Demo Requested,Consumer Durables & Apparel,1605,OM,false
2462,Christina Lopez,Solutions Architect,Demo Requested,Software & Services,7855,LA,false
2463,Lisa Lucas,Data Scientist,Sign-up,Commercial & Professional Services,13030,FI,false
2464,Sarah Murphy,Data Analyst,Sign-up,Commercial & Professional Services,11730,SI,false
2465,Teresa Howard,Data Analyst,Webinar,Commercial & Professional Services,14955,SN,false
2466,Megan Adams,CEO,Demo Requested,Software & Services,10080,AG,false
2467,Christian Stewart,Growth Marketing Manager,Sign-up,Commercial & Professional Services,11730,BB,false
2468,Heather Harris,Growth Marketing Manager,Sign-up,Software & Services,6930,SN,false
2469,Tamara Bryant,Product Manager,Sign-up,Technology Hardware & Equipment,14655,TH,true
2470,Christopher Frazier,VP Data,Sign-up,Technology Hardware & Equipment,14105,GW,false
2471,Jimmy Mooney,Data Analyst,Demo Requested,Software & Services,6055,AL,false
2472,Dominique Russell,Solutions Architect,Sign-up,Commercial & Professional Services,8830,WS,false
2473,Michelle Hawkins DDS,Owner,Demo Requested,Commercial & Professional Services,9155,MW,true
2474,Sarah Taylor,CFO,In-Person Event,Consumer Durables & Apparel,7530,NR,false
2475,Natalie Burns,Solutions Architect,Demo Requested,Software & Services,4130,NI,false
2476,Meghan Curtis,CFO,Sign-up,Technology Hardware & Equipment,3130,BE,false
2477,Jennifer Knapp,Analytics Manager,Sign-up,Software & Services,1105,MX,false
2478,Chase Whitney,Foudner,In-Person Event,Commercial & Professional Services,7705,AZ,false
2479,Peter Benson,Analytics Engineer,Webinar,Consumer Staples,11155,QA,false
2480,Allen Hodges,CEO,Webinar,Commercial & Professional Services,205,LS,true
2481,William Smith,Data Scientist,Sign-up,Commercial & Professional Services,12755,KP,false
2482,Kelly Arroyo,Analytics Engineer,Sign-up,Commercial & Professional Services,11180,LR,false
2483,Frederick Harrell,Product Manager,Sign-up,Software & Services,2080,CU,false
2484,Shannon Jones,CEO,In-Person Event,Technology Hardware & Equipment,1430,AD,false
2485,Audrey Hardin,Data Engineer,Webinar,Commercial & Professional Services,12080,GW,false
2486,Joseph Carrillo,VP Marketing,Sign-up,Software & Services,6930,SO,false
2487,Wesley Wright,Analytics Engineer,In-Person Event,Commercial & Professional Services,8305,DO,false
2488,Monique Duran,Owner,Sign-up,Technology Hardware & Equipment,2580,,true
2489,Julie Miller,Data Engineer,Sign-up,Commercial & Professional Services,1330,SM,false
2490,Adam Vazquez,Data Engineer,Sign-up,Software & Services,6880,PW,true
2491,Marc Walker,Software Engineer,Sign-up,Technology Hardware & Equipment,7555,CG,false
2492,Michelle Dunn,Data Scientist,In-Person Event,Consumer Durables & Apparel,11755,FR,false
2493,Tanya Love,Growth Marketing Manager,Sign-up,Software & Services,13680,AT,false
2494,Patrick Reynolds,Data Engineer,In-Person Event,Commercial & Professional Services,5130,GY,false
2495,James Mclaughlin,CEO,Sign-up,Commercial & Professional Services,12130,SD,false
2496,Jeanette Cameron,Data Engineer,Sign-up,Commercial & Professional Services,13905,PY,true
2497,Cody Johnston,CEO,Sign-up,Commercial & Professional Services,4630,CM,true
2498,Eric Palmer,CFO,Webinar,Consumer Staples,12355,SG,false
2499,Tommy Villa,Owner,Sign-up,Software & Services,7480,IT,false
2500,Dr. Scott Benson,VP Marketing,In-Person Event,Consumer Durables & Apparel,10180,TZ,false
2501,Teresa Miranda,Foudner,Sign-up,Consumer Staples,6580,MT,false
2502,Isabella Wilson,Analytics Engineer,Sign-up,Software & Services,14980,AT,false
2503,Jesse Robbins,Analytics Engineer,Sign-up,Software & Services,13605,HT,false
2504,Kristen Davis,Data Analyst,In-Person Event,Software & Services,10480,HR,false
2505,Andrew Holder,Data Scientist,Sign-up,Consumer Staples,13155,SI,false
2506,Linda Davis,VP Marketing,Demo Requested,Software & Services,14355,MN,false
2507,Levi Gomez,Owner,In-Person Event,Commercial & Professional Services,13255,SZ,false
2508,James Murphy,Data Engineer,Sign-up,Software & Services,13780,UZ,false
2509,Donna Conrad,Data Engineer,In-Person Event,Commercial & Professional Services,13830,ET,false
2510,Mr. Clinton Smith,Data Engineer,Sign-up,Consumer Durables & Apparel,14855,SM,false
2511,Hannah Simpson,Data Analyst,In-Person Event,Consumer Staples,5280,NO,false
2512,Kelly Taylor,VP Engineering,Sign-up,Commercial & Professional Services,5555,DZ,false
2513,Jason Jacobs,Account Executive,In-Person Event,Commercial & Professional Services,2080,TR,false
2514,Elizabeth Hobbs,Data Engineer,Sign-up,Consumer Durables & Apparel,14755,AG,false
2515,Karen Barrett,CEO,In-Person Event,Software & Services,14755,BE,false
2516,Mr. Brian Romero,Account Executive,Demo Requested,Commercial & Professional Services,9555,BT,false
2517,Eric Collier,Solutions Architect,In-Person Event,Software & Services,305,SV,false
2518,Stephanie Mccullough,Data Analyst,Sign-up,Commercial & Professional Services,14955,BR,false
2519,Darrell Gonzalez,VP Data,Sign-up,Consumer Staples,8055,MG,false
2520,James Greene,Growth Marketing Manager,Demo Requested,Commercial & Professional Services,13680,BZ,true
2521,Wendy Park,Analytics Engineer,Sign-up,Commercial & Professional Services,5430,LC,false
2522,Joseph Davila,VP Engineering,Sign-up,Commercial & Professional Services,10280,CU,false
2523,Nathan Woodward,VP Engineering,In-Person Event,Software & Services,6280,GE,false
2524,Valerie Coleman,Solutions Architect,Demo Requested,Software & Services,11005,BW,false
2525,Adam Carlson,Product Manager,Sign-up,Commercial & Professional Services,9880,MT,true
2526,Richard Ramirez,Owner,In-Person Event,Commercial & Professional Services,9705,JP,false
2527,Timothy Holmes,Software Engineer,In-Person Event,Consumer Durables & Apparel,12055,RU,false
2528,Jay Nelson,Account Executive,Webinar,Consumer Staples,10480,AF,false
2529,Victor Lopez,Data Engineer,Sign-up,Commercial & Professional Services,1755,MA,true
2530,Jessica Frank,VP Marketing,Webinar,Commercial & Professional Services,5230,LT,false
2531,Anthony Evans,Account Executive,In-Person Event,Commercial & Professional Services,9555,CM,false
2532,Sara Allen,Software Engineer,Sign-up,Commercial & Professional Services,6755,CV,false
2533,Marilyn Robinson,Data Analyst,Sign-up,Commercial & Professional Services,6930,PH,false
2534,Duane Green,Analytics Engineer,In-Person Event,Consumer Durables & Apparel,14730,NG,false
2535,Anthony Martinez,Analytics Manager,Demo Requested,Technology Hardware & Equipment,80,TN,false
2536,Maria Hendrix,Analytics Manager,Webinar,Software & Services,6905,LB,false
2537,Jose Smith,Product Manager,In-Person Event,Consumer Staples,13755,AE,false
2538,Michael Kelley,VP Marketing,Sign-up,Commercial & Professional Services,10880,TG,false
2539,Sandra Baker,Foudner,In-Person Event,Technology Hardware & Equipment,880,FR,true
2540,Michelle Hernandez,VP Engineering,Webinar,Software & Services,5255,SY,false
2541,Cynthia Bryan,VP Engineering,Sign-up,Commercial & Professional Services,10355,JM,false
2542,Natalie Mercado,Data Analyst,Sign-up,Commercial & Professional Services,305,VU,false
2543,Phillip Davis,VP Engineering,In-Person Event,Technology Hardware & Equipment,580,ER,true
2544,Dale Villarreal,CEO,Webinar,Consumer Durables & Apparel,1730,TD,false
2545,Robert Freeman,Data Engineer,Demo Requested,Consumer Staples,9105,PG,false
2546,Joseph Castillo,Data Engineer,Sign-up,Consumer Staples,12655,FM,false
2547,Cynthia Lara,CFO,Sign-up,Commercial & Professional Services,6130,TG,false
2548,Mrs. Nicole Allen,Data Scientist,Sign-up,Consumer Staples,3680,CV,false
2549,Donald Morgan,VP Data,Sign-up,Commercial & Professional Services,6530,TR,false
2550,Brian Torres,VP Data,In-Person Event,Consumer Staples,4730,JP,true
2551,Amy Scott,CFO,Sign-up,Commercial & Professional Services,13655,VU,true
2552,Troy Phillips,Account Executive,Sign-up,Commercial & Professional Services,1280,PY,false
2553,Jason Higgins,CEO,Sign-up,Consumer Durables & Apparel,880,AU,false
2554,Carmen Spears,Account Executive,In-Person Event,Commercial & Professional Services,9230,FJ,false
2555,Michael Johnson,Analytics Engineer,Sign-up,Consumer Staples,755,BH,false
2556,Amber Lee,Solutions Architect,Sign-up,Software & Services,11805,BT,false
2557,Ashley Graham,CEO,Sign-up,Commercial & Professional Services,13830,MU,false
2558,Mrs. Cindy Davis,Data Engineer,Demo Requested,Software & Services,4755,CL,false
2559,Christopher Higgins,Analytics Manager,In-Person Event,Consumer Staples,12680,CG,false
2560,Tammy Pitts,Data Engineer,Sign-up,Commercial & Professional Services,6555,KP,false
2561,Jake Reid,Product Manager,In-Person Event,Commercial & Professional Services,3355,ER,true
2562,Denise Jones,Software Engineer,Sign-up,Commercial & Professional Services,6905,TW,false
2563,Jean Wells,Solutions Architect,Demo Requested,Commercial & Professional Services,11405,PY,false
2564,Joy Morris,CEO,Sign-up,Consumer Staples,8080,BY,false
2565,Sarah Johnston,VP Marketing,Demo Requested,Commercial & Professional Services,14255,AR,false
2566,Howard Browning,Owner,In-Person Event,Commercial & Professional Services,13830,MG,false
2567,Helen Webb,Data Analyst,Sign-up,Consumer Durables & Apparel,14880,BW,false
2568,Theresa Roth,Data Scientist,In-Person Event,Technology Hardware & Equipment,10580,IE,false
2569,Anthony Lee,VP Engineering,Demo Requested,Commercial & Professional Services,11855,MU,false
2570,Andre Johnson,Solutions Architect,Demo Requested,Commercial & Professional Services,14255,BT,false
2571,Frank Bowers,Data Scientist,Demo Requested,Software & Services,2180,NZ,true
2572,Andre Soto,VP Engineering,Webinar,Consumer Staples,5155,MX,false
2573,Scott Hays,CFO,In-Person Event,Consumer Durables & Apparel,7130,SR,false
2574,Catherine Bowman,Growth Marketing Manager,Demo Requested,Commercial & Professional Services,14680,SM,true
2575,Melinda Patterson,Solutions Architect,Sign-up,Consumer Durables & Apparel,5105,CH,false
2576,Robin Nunez,Solutions Architect,Sign-up,Commercial & Professional Services,5330,PS,false
2577,David Ortega,VP Engineering,Sign-up,Consumer Staples,10305,PH,false
2578,Jessica Mack,VP Engineering,Demo Requested,Consumer Staples,14530,BW,false
2579,Brett Davis,Solutions Architect,Demo Requested,Technology Hardware & Equipment,2355,MV,false
2580,David Gray,Product Manager,Sign-up,Software & Services,11680,SZ,false
2581,Daniel Davis,VP Marketing,In-Person Event,Consumer Staples,9930,AG,false
2582,Amanda Brown,Data Engineer,Webinar,Technology Hardware & Equipment,14005,NO,false
2583,Marissa Cobb,Growth Marketing Manager,Sign-up,Software & Services,13180,IS,false
2584,Lauren Booker,Data Analyst,In-Person Event,Commercial & Professional Services,11405,BS,false
2585,Mark Lopez,Data Engineer,Demo Requested,Software & Services,9455,MD,false
2586,Roy Faulkner,Data Scientist,Sign-up,Commercial & Professional Services,6655,TL,false
2587,Kimberly Taylor,Product Manager,Sign-up,Software & Services,11430,LI,true
2588,Diane Jones,Data Scientist,Demo Requested,Consumer Staples,10355,NR,false
2589,Karen Hudson,Software Engineer,Sign-up,Consumer Staples,405,CU,true
2590,Joshua Morgan,VP Engineering,Sign-up,Commercial & Professional Services,5680,SG,false
2591,Frank Herring,Solutions Architect,Sign-up,Technology Hardware & Equipment,3605,AU,false
2592,Cheryl Pham,Analytics Manager,Demo Requested,Consumer Durables & Apparel,11955,GT,false
2593,Christina Good,Account Executive,Sign-up,Consumer Durables & Apparel,5680,LY,false
2594,Sara Lowery,Data Analyst,Webinar,Software & Services,3555,TG,false
2595,Christopher Benjamin,Account Executive,Webinar,Consumer Staples,8380,LY,false
2596,Jocelyn Maldonado,Foudner,Sign-up,Commercial & Professional Services,11880,UY,false
2597,Maria Anderson,Solutions Architect,Sign-up,Commercial & Professional Services,6205,SK,false
2598,Peggy White,CEO,Sign-up,Consumer Durables & Apparel,14530,LK,false
2599,Melanie Robinson,Solutions Architect,Demo Requested,Commercial & Professional Services,13630,VC,false
2600,Stephanie Goodman,Analytics Engineer,Sign-up,Technology Hardware & Equipment,6605,KR,false
2601,Anita Bennett,CEO,In-Person Event,Consumer Durables & Apparel,10730,GN,false
2602,Ryan Johnson,Solutions Architect,Sign-up,Commercial & Professional Services,6055,AF,false
2603,William Holloway,CFO,Webinar,Commercial & Professional Services,3805,IL,true
2604,Brian Lucas,VP Data,Webinar,Software & Services,4180,LB,false
2605,Rebecca Davis,VP Marketing,Demo Requested,Commercial & Professional Services,11580,AD,false
2606,Douglas Nelson,Foudner,Webinar,Consumer Durables & Apparel,10230,DE,false
2607,Ronald Ramsey,VP Marketing,In-Person Event,Software & Services,13955,PA,false
2608,Dominique Hansen,Data Scientist,Sign-up,Technology Hardware & Equipment,4080,TT,false
2609,Breanna Scott,Account Executive,Webinar,Commercial & Professional Services,13055,KI,false
2610,Bradley Rogers,Software Engineer,Sign-up,Commercial & Professional Services,6955,GE,false
2611,Casey Schultz,Foudner,Demo Requested,Consumer Durables & Apparel,3855,BT,true
2612,Daniel Knight,Owner,Sign-up,Commercial & Professional Services,4405,AM,false
2613,Shannon Herrera,Data Scientist,Demo Requested,Commercial & Professional Services,3155,BZ,false
2614,Sierra Thompson,Data Engineer,Demo Requested,Software & Services,55,SV,false
2615,Jeff Harvey,Data Scientist,Demo Requested,Technology Hardware & Equipment,4580,RS,true
2616,Louis Allen,Account Executive,Demo Requested,Consumer Durables & Apparel,10355,IL,false
2617,Mr. Justin Nguyen MD,Data Analyst,Webinar,Commercial & Professional Services,4105,MN,true
2618,Ronald Johnson,CEO,Sign-up,Commercial & Professional Services,10280,BF,false
2619,Natasha Fitzpatrick,Solutions Architect,In-Person Event,Commercial & Professional Services,3630,BZ,true
2620,Kelly Ortiz,Growth Marketing Manager,Webinar,Commercial & Professional Services,1580,MC,false
2621,Seth Smith,Growth Marketing Manager,Sign-up,Technology Hardware & Equipment,830,AL,false
2622,Julie Lewis,Data Analyst,Sign-up,Consumer Staples,12705,AE,false
2623,Cory Gibbs,Account Executive,Sign-up,Consumer Staples,9930,DE,false
2624,Amy Newton,Growth Marketing Manager,In-Person Event,Commercial & Professional Services,14880,KH,false
2625,Brandon Henry,VP Engineering,Sign-up,Commercial & Professional Services,230,YE,false
2626,Linda Lawrence,Product Manager,Sign-up,Commercial & Professional Services,3055,AO,true
2627,Joshua Bennett,VP Marketing,Demo Requested,Commercial & Professional Services,3505,PT,true
2628,John Glass,Data Analyst,Webinar,Commercial & Professional Services,705,TG,false
2629,Carol Crosby,Software Engineer,Sign-up,Commercial & Professional Services,9830,ID,false
2630,Nicole Murphy,Product Manager,Sign-up,Technology Hardware & Equipment,14330,CD,true
2631,Jimmy Powell,Solutions Architect,Demo Requested,Consumer Staples,9380,MH,false
2632,Cindy Gonzalez,CEO,Demo Requested,Consumer Staples,7505,FI,false
2633,Scott Brown,CEO,Sign-up,Technology Hardware & Equipment,10005,TV,false
2634,Krista Rivera,Foudner,Demo Requested,Technology Hardware & Equipment,6630,MY,false
2635,Robert Thomas,Owner,Sign-up,Consumer Staples,3030,HN,false
2636,Denise King,Software Engineer,Sign-up,Commercial & Professional Services,2955,NE,true
2637,Jeffrey Hansen,Solutions Architect,Sign-up,Commercial & Professional Services,5055,MM,false
2638,Carlos Diaz,VP Engineering,In-Person Event,Technology Hardware & Equipment,4005,JM,true
2639,Robert Walters,Product Manager,Demo Requested,Commercial & Professional Services,7480,SC,true
2640,Frank Wilson,Data Analyst,In-Person Event,Consumer Staples,1905,AL,false
2641,Mitchell Horton,Owner,Webinar,Commercial & Professional Services,9330,LC,false
2642,Linda Bates,Product Manager,Sign-up,Technology Hardware & Equipment,8430,HT,true
2643,Sean Vang,Solutions Architect,In-Person Event,Technology Hardware & Equipment,7055,SB,false
2644,Carrie Cruz,VP Engineering,In-Person Event,Software & Services,10855,CM,false
2645,Anthony Bishop,Data Analyst,Sign-up,Consumer Staples,11480,SA,false
